found_folder,file_name,chainid,lastupdatedate,subchainid,storeid,bikoretno,storetype,chainname,subchainname,storename,address,city,zipcode
,,,,,479,,,,,אקספרס בר אילן,בר אילן 24,רעננה,
,,,,5,602,,,,Be,BE (פ.י) אשקלון מרינה,מרינה,אשקלון,
,,,,6,606,,,,יש חסד,יש חסד בית שמש- מ. מסחרי,מרכז מסחרי רמהא,בית שמש,99090
,,,,,607,,,,,יש חסד מודיעין עלי-ק.ספר,אבני נזר 46,קרית ספר,
,,,,,608,,,,,יש חסד ירושלים-קרית שאול,נאג'רה 2,ירושלים,
,,,,5,613,,,,Be,BE נהריה,"קניון הצפון , אירית 2",נהריה,
,,,,,614,,,,,BE נתניה,נתניה,נתניה,
,,,,,635,,,,,BE 16 ראש-פינה,ראש-פינה,ראש-פינה,
,,,,,637,,,,,BE רעננה,האחוזה 114,רעננה,
,,,,,641,,,,,BE גבעתיים,גבעתיים,גבעתיים,
,,,,,654,,,,,BE אם המושבות,אם המושבות,פתח תקווה,
,,,,2,209,,,,שופרסל דיל,דיל אשקלון- רוטשילד,אדמונד רוטשילד 8,אשקלון,7822602
,,,,6,219,,,,יש חסד,יש חסד בני ברק- עזרא,עזרה בני ברק,בני ברק,5155103
,,,,7,224,,,,שופרסל אקספרס,"אקספרס ראשל""צ-נווה דקלים",נווה דקלים 44,ראשון לציון,
,,,,1,232,,,,שופרסל שלי,שלי צפת- מ.מסחר רמת רזים,מרכז מסחרי רמת,צפת,1341219
,,,,7,236,,,,שופרסל אקספרס,אקספרס אילת שחמון,ששת הימים 310,אילת,
,,,,5,242,,,,Be,BE ויוה חדרה,מרכז מסחרי ויוה,חדרה,
,,,,2,249,,,,שופרסל דיל,דיל נתניה- פולג,גיבורי ישראל 5,נתניה,4250409
,,,,7,311,,,,שופרסל אקספרס,אקספרס רחובות- בוסתנאי,בוסתנאי 14,רחובות,
,,,,1,333,,,,שופרסל שלי,שלי חיפה- אורן,רח.אורן 25 רוממה,חיפה,3473402
,,,,2,339,,,,שופרסל דיל,דיל טבריה- העמקים,העמקים 1,טבריה,1420401
,,,,,342,,,,,דיל כרמיאל- קניון לב,מורד הגיא 100,כרמיאל,2192401
,,,,7,362,,,,שופרסל אקספרס,אקספרס קרןהיסוד ירושלים,קרן היסוד 27,ירושלים,
,,,,,372,,,,,אקספרס בת ים- חשמונאים,החשמונאים 41,בת ים,
,,,,,377,,,,,אקספרס ירושלים- הדסה,בית חולים הדסה,ירושלים,
,,,,1,284,,,,שופרסל שלי,שלי תל מונד- הדקל,הדקל 49,תל מונד,4060049
,,,,2,290,,,,שופרסל דיל,"דיל  פ""ת- יכין סנטר",יצחק רבין 17,פתח-תקווה,4951711
,,,,5,660,,,,Be,סניף רמת השרון,סוקולוב 74,רמת השרון,
,,,,,662,,,,,BE בית חולים אשדוד,"בי""ח אסותא אשדוד",אשדוד,
,,,,,665,,,,,BE חשמונאים,החשמונאים 84 פינת קרליבך,תל אביב,
,,,,,682,,,,,BE כפר סבא צפון,כפר סבא צפון,כפר סבא צפון,
,,,,,697,,,,,BE  ירכא,ירכא,ירכא,
,,,,,776,,,,,BE טירה,טארק עבדאלחי,טירה,
,,,,7,779,,,,שופרסל אקספרס,אקספרס יבנה,דרך ז'בוטינסקי,יבנה,
,,,,,780,,,,,אקספרס המעפיל רמת גן,המעפיל,רמת גן,0
,,,,5,781,,,,Be,"BE פרישמן ת""א",דיזינגוף 102,תל אביב,
,,,,,783,7,1,,,BE מודיעין,גינת זבולון 24,מודיעין,
,,,,,785,,,,,BE מעלה אדומים,,מעלה אדומים,
,,,,7,845,,,,שופרסל אקספרס,אקספרס נחשון כפר סבא,נחשון 10,כפר סבא,
,,,,1,33,,,,שופרסל שלי,שלי חיפה- סטלה,טשרניחובסקי/35,חיפה,3570323
,,,,2,45,,,,שופרסל דיל,דיל ירושלים- תלפיות,פייר קניג 35,ירושלים,9346943
,,,,,98,,,,,דיל קרית טבעון- אלונים,חוצות אלונים,טבעון,3604701
,,,,1,102,,,,שופרסל שלי,שלי פרדסיה- הנשיא,הנשיא 1 צ.פרדסיה,פרדסיה,4281500
,,,,,109,,,,,שלי ראש העין- ז'בוטינסקי,גבעת טל,ראש העין,4857301
,,,,2,180,,,,שופרסל דיל,דיל ק.מוצקין- בן גוריון,שד' בן גוריון 84,קרית מוצקין,2642439
,,,,,222,,,,,"דיל רמות ב""ש ב'",הערים התאומות 28,באר שבע,
,,,,,260,,,,,דיל ירושלים-קניון תלפיות,האומן 17,ירושלים,9342111
,,,,6,610,,,,יש חסד,יש חסד ירושלים- רמת שלמה,ברכת אברהם 22,,
,,,,5,652,,,,Be,BE מודיעין,מודיעין,מודיעין,
,,,,,653,,,,,BE בני-ברק,בני-ברק,בני-ברק,
,,,,,658,,,,,BE קריית אתא,קריית אתא,קריית אתא,
,,,,18,789,,,,יש Good,גוד מרקט אופקים,,,
,,,,5,270,,,,Be,BE חולון הפלד,חולון הפלד 270,חולון,
,,,,1,272,,,,שופרסל שלי,שלי גבעתיים- ויצמן,ויצמן 20,גבעתיים,5339005
,,,,2,139,,,,שופרסל דיל,דיל צפת-  דובק ויצמן,,צפת,1321736
,,,,,141,,,,,דיל יוקנעם- שדרות רבין,שדרות רבין 9,יקנעם,2060000
,,,,,142,,,,,דיל זכרון- המייסדים,המייסדים,זכרון יעקב,3095067
,,,,7,148,,,,שופרסל אקספרס,אקספרס מלצר רחובות,מלצר 20,רחובות,
,,,,2,151,,,,שופרסל דיל,דיל רעננה- קניון רננים,רח.המלאכה 2,רעננה,4366101
,,,,,159,,,,,דיל רמת הנשיא חיפה,שלמה המלך 55,חיפה,
,,,,1,168,,,,שופרסל שלי,שלי אשדוד- כינרת,"שכונת י""א כנרת",אשדוד,7770071
,,,,2,174,,,,שופרסל דיל,דיל ערד- קניון,הקנאים 29,ערד,8902342
,,,,3,176,,,,שערי רווחה,שערי רווחה ירושלים,לואיס ברנדס 3,ירושלים,
,,,,5,178,,,,Be,BE סגולה פתח תקווה,הרב מסעוד אשר פינטו 20,פתח תקווה,
,,,,7,179,,,,שופרסל אקספרס,"שופרסל אקספרס הרוא""ה רמת גן","רח' הרוא""ה 152",רמת גן,
,,,,2,189,,,,שופרסל דיל,דיל פרדס חנה,14 רחוב הבנים,פרדס חנה,
,,,,,190,,,,,דיל חצור- הגלילית,קניון גליל עליון,חצור-הגלילית,1030000
,,,,,199,,,,,דיל בת ים- בלפור,בלפור 25,בת ים,0
,,,,7,231,,,,שופרסל אקספרס,אקספרס רעננה- רבקה גרובר,רבקה גובר  7,רעננה,
,,,,,239,,,,,אקספרס יפו- הדרור,הדרור 2,תל אביב,
,,,,1,247,,,,שופרסל שלי,שלי חולון- רבינוביץ,רבינוביץ 58,חולון,5867256
,,,,2,255,,,,שופרסל דיל,דיל כפר תבור,4 רחוב הבזלת,כפר תבור,
,,,,5,256,,,,Be,BE נס ציונה,הפטיש,נס ציונה,
,,,,1,266,,,,שופרסל שלי,שלי רזין אילת,רח' שדרות התמרים 37,אילת,
,,,,7,277,,,,שופרסל אקספרס,אקספרס.בני בנימין הרצליה,בני בנימין 23,הרצליה,
,,,,,279,,,,,"אקספרס-ת""א דרויאנוב",רח' דרויאנוב 5,תל אביב,
,,,,,285,,,,,"אקספרס סוקולוב פ""ת",סוקולוב 26,פתח תקווה,
,,,,1,287,,,,שופרסל שלי,שלי גבעתיים-שביט,עמישב 45,גבעתיים,5348832
,,,,7,299,,,,שופרסל אקספרס,אקספרס הוד השרון, חנקין 12,הוד השרון,0
,,,,6,300,,,,יש חסד,יש חסד בארות יצחק- פאוור,בארות יצחק,בארות יצחק,
,,,,7,325,,,,שופרסל אקספרס,אקספרס ששת הימים נס ציונ,ששת הימים 1,נס ציונה,
,,,,1,330,,,,שופרסל שלי,שלי חיפה- נתיב חן,"נתיב חן 1,נוה שא",חיפה,3224001
,,,,,336,,,,,שלי חיפה- רמות ספיר,רח' גוט לוין 48,,3292240
,,,,7,338,,,,שופרסל אקספרס,אקספרס כוכב הצפון,בוני העיר 9,"ת""א",
,,,,,340,,,,,"אקספרס ת""א- זריצקי",זריצקי 4,תל אביב,
,,,,2,110,,,,שופרסל דיל,"דיל הפארק ב""ש",20 נחל פרת,באר שבע,
,,,,5,667,,,,Be,BE מדיקל הלל יפה חדרה,מרכז רפואי הלל יפה חדרה,חדרה,
,,,,,670,,,,,BE (פ.י) איכילוב,וייצמן 6,תל אביב,
,,,,,674,,,,,BE  תל ברוך,אהרון בקר 8,,
,,,,,675,,,,,BE 61 שרונים,קניון שרונים,הוד השרון,
,,,,,676,,,,,BE יוקנעם,יוקנעם,יוקנעם,
,,,,,678,,,,,BE עפולה,עפולה,עפולה,
,,,,,345,,,,,BE מידטאון,שדרות מנחם בגין 144,תל אביב,
,,,,7,348,,,,שופרסל אקספרס,"אקספרס פ""ת- קק""ל","קק""ל 2",פתח תקווה,
,,,,,353,,,,,אקספרס יותם,יותם 20,חיפה,
,,,,2,359,,,,שופרסל דיל,דיל חיפה- גרנד קניון,שמחה גולן 54,,3299001
,,,,7,360,,,,שופרסל אקספרס,"אקספרס מאירוביץ ראשל""צ",מאירוביץ 17,ראשון לציון,
,,,,1,369,,,,שופרסל שלי,שלי שוהם- תרשיש,עמק איילון פינת,שוהם,6080001
,,,,7,375,,,,שופרסל אקספרס,"אקספרס כ""ס- הגליל",הגליל 58,כפר סבא,
,,,,,379,,,,,אקספרס גבעתיים- כצנלסון,כצנלסון 19,גבעתיים,
,,,,,382,,,,,"אקספרס פ""ת- היבנר",היבנר 29,פתח תקוה,
,,,,,390,,,,,שופרסל אקספרס אם המושבות,יעל רום 8,,
,,,,,394,,,,,אקספרס הכרמל כפר סבא,הגליל 31,כפר סבא,
,,,,2,396,,,,שופרסל דיל,דיל הקדר נתניה,האורזים 2,נתניה,
,,,,7,397,,,,שופרסל אקספרס,אקספרס פארק עפולה,רובע יזרעאל,עפולה,
,,,,,444,,,,,"אקספרס.ב""ש אביסרור",רח' יעקב כהן 8,באר שבע,
,,,,5,485,,,,Be,BE אשדוד בלה,רוגוזין  1,אשדוד,
,,,,,642,,,,,BE אלונים- טבעון,"אלונים 1, קרית טבעון, קניון חוצות אלונים",קרית טבעון,
,,,,,648,,,,,BE מאיר-כפר סבא,מאיר-כפר סבא,כפר סבא,
,,,,,655,,,,,BE רחובות מזרח,רחובות,רחובות,
,,,,,233,,,,,BE באר שבע,,,
,,,,7,768,,,,שופרסל אקספרס,אקספרס קרניצי רמת גן,,,
,,,,,477,,,,,אקספרס הציפורים מודיעין,2 החסידה,מודיעין,
,,,,5,762,,,,Be,BE אוסישקין,,,
,,,,,788,,,,,BE אפרת,,,
,,,,1,216,,,,שופרסל שלי,שלי הוד השרון,2 הנשיאים,הוד השרון,
,,,,5,476,,,,Be,BE הוד השרון כיכר המושבה,שמיר,,
,,,,,763,,,,,BE שפרעם,דהאר עומר אלזידאני 32,שפרעם,
,,,,,764,,,,,BE סטאר אשדוד,ז'בוטינסקי 45,אשדוד,
,,,,2,254,,,,שופרסל דיל,דיל כרמי גת,1 אבני חושן,קריתגת,
,,,,18,771,,,,יש Good,גוד מרקט בני ברק,הרב כהנמן 64,בני ברק,
,,,,,772,,,,,גוד מרקט מאה שערים,מאה שערים 42,ירושלים,
,,,,7,51,,,,שופרסל אקספרס,אקספרס הרצליה,צמרות 2,הרצליה,
,,,,2,790,,,,שופרסל דיל,דיל רמלה,10 משה לוי,רמלה,
,,,,5,786,,,,Be,BE קרית גת-כרמי גת,BE קרית גת-כרמי גת,,
,,,,,787,,,,,BE אריאל,,,
,,,,7,842,,,,שופרסל אקספרס,אקספרס מטודלה תל אביב,30 מטודלה,תל אביב,
,,,,,777,,,,,אקספרס נרקיסים,121 שדרות ירושליים,ראשון לציון,
,,,,,752,,,,,אקספרס כפר סבא דוכיפת,5 דוכיפת,כפר סבא,
,,,,,757,,,,,אקספרס קריית אונו,2 יצחק נבון,קריית אונו,
,,,,5,691,,,,Be,Be (פ.י) אשדוד מדיקל,87 העצמאות,אשדוד,
,,,,18,843,,,,יש Good,גוד מרקט בית שמש,55 המוראים,בית שמש,
,,,,7,301,,,,שופרסל אקספרס,אקספרס אחימאיר,1 אחי מאיר,תל אביב,
,,,,18,753,,,,יש Good,"גוד מרקט רש""י ירושלים","53 רש""י",ירושלים,
,,,,5,482,,,,Be,BE רמלה נווה דורון,,,
,,,,,714,,,,,Be סכנין,22 אלג’ליל,סכנין,
,,,,,713,,,,,BE אור ים,2 פרדס רימונים,אור עקיבא,
,,,,,684,,,,,Be  שדרות,7 מול מנחם בגין,שדרות,
,,,,7,579,,,,שופרסל אקספרס,אקספרס סביון,1 השיקמה,סביון,
,,,,6,499,,,,יש חסד,יש חסד עפולה עילית,24 פנחס רוזן,עפולה,
,,,,7,598,,,,שופרסל אקספרס,אקספרס הירדן,רמת גן הירדן 29,,
,,,,,741,,,,,אקספרס יצחק רבין,34 יצחק רבין,קריית אונו,
,,,,18,750,,,,יש Good,גוד מרקט שירת הים,10 שירת הים,ירושלים,
,,,,7,740,,,,שופרסל אקספרס,אקספרס שלמה המלך,2 שלמה המלך,קריית אונו,
,,,,,398,,,,,אקספרס אגמים,73 עמק יזרעאל,אשקלון,
,,,,6,765,,,,יש חסד,יש חסד בן איש חי,43 בן איש חי,בית שמש,
,,,,5,715,,,,Be,BE אגמים,73 עמק יזראל,אשקלון,
,,,,7,599,,,,שופרסל אקספרס,אקספרס ההסתדרות,27 ההסתדרות,גבעתיים,
,,,,5,712,,,,Be,BE עין הים חדרה,6 עין הים עין גדי,גבעת אולגה,
,,,,7,743,,,,שופרסל אקספרס,אקספרס קריית גת,28 הגבורה,קריית גת,
,,,,6,593,,,,יש חסד,יש חסד באר טוביה,אזור התעשייה,באר טוביה,
,,,,7,596,,,,שופרסל אקספרס,אקספרס אבן גבירול,124 אבן גבירול,תל אביב,
,,,,,595,,,,,אקספרס בת חפר,שדרות עמק חפר,בת חפר,
,,,,2,854,,,,שופרסל דיל,דיל גבעת אלונים,1 דוכיפת,קריית אתא,
,,,,7,846,,,,שופרסל אקספרס,אקספרס אור ים,34 דוד המלך,אור עקיבא,
,,,,5,716,,,,Be,Be mall 7  באר שבע,"30 הע""ל",באר שבע,
,,,,,748,,,,,BE שבעת הכוכבים אילת,7 דרך הערבה,אילת,
,,,,8,210,,,,יוניברס,"יוניברס ראשל""צ- שמוטקין",שמוטקין 30,ראשון לציון,7536333
,,,,,297,,,,,יוניברס חדרה- ארבע האגודות,ארבע אגודות 1,חדרה,3843101
,,,,7,489,,,,שופרסל אקספרס,אקספרס מודיעין,26 חיים ויצמן,מודיעין,
,,,,18,734,,,,יש Good,גוד מרקט גאולה חיפה,28 גאולה,חיפה,
,,,,8,106,,,,יוניברס,יוניברס נס ציונה - הפטיש,"הפטיש 8,א.ת.",נס ציונה,7404730
,,,,2,250,,,,שופרסל דיל,קריית שמונה,,,
,,,,8,134,,,,יוניברס,יוניברס מודיעין- ישפרו סנטר,ישפרו סנטר,מודיעין,
,,,,,135,,,,,יוניברס אשקלון- פאור סנטר,צומת כפר סילבר,אשקלון,7929500
,,,,2,183,,,,שופרסל דיל,דיל אשדוד- הרצל,1 רח' הרצל,אשדוד,7745401
,,,,8,276,,,,יוניברס,"יוניברסאמט""ל רחובות",רח משה יתום  46,רחובות,76396
,,,,,269,,,,,"יוניברס פ""ת- סגולה",הרב מסעוד אשר20א,פתח תקווה,4900519
,,,,,71,,,,,יוניברס תל חנן  נשר,בר יהודה 147,נשר,3688306
,,,,3,448,,,,שערי רווחה,שערי רווחה,25 ירמיהו,ירושלים,9446710
,,,,8,195,,,,יוניברס,יוניברס קריון- דרך עכו,דרך עכו  192,קרית ביאליק,2723211
,,,,32,737,,,,Cash&Carry,המפיץ סיטונאות באר שבע,סולל בונה 2,באר שבע,
,,,,8,13,,,,יוניברס,יוניברס בית שמש- העליה,העליה 1,בית-שמש,9902101
,,,,,218,,,,,יוניברס עפולה- יצחק רבין,שד' יצחק רבין 5,עפולה,1834171
,,,,,259,,,,,"יוניברס גזית כ""ס- ויצמן",ויצמן 300 מתחם G,כפר סבא,4439656
,,,,2,215,,,,שופרסל דיל,דיל בית שאן-ירושלים הבירה,ירושלים הבירה,בית שאן,10900
,,,,8,251,,,,יוניברס,יוניברס עפולה- כורש,כורש 5,עפולה,1831007
,,,,5,172,,,,Be,BE באר יעקב,11 שדרות יצחק שמיר,באר יעקב,
,,,,7,744,,,,שופרסל אקספרס,אקספרס אשקלון,2 עמק האלה,אשקלון,
,,,,18,840,,,,יש Good,גוד מרקטחריש,1 אלה,חריש,
,,,,8,124,,,,יוניברס,יוניברס בת ים- אורט ישראל,אורט ישראל 25,בת-ים,5959036
,,,,,128,,,,,יוניברס טירת הכרמל- נחום חת,נחום חת 5,טירת הכרמל,35085
,,,,,211,,,,,יוניברס כרמיאל- אזור התעשיה,א.ת חוצות כרמיאל,כרמיאל,2165006
,,,,5,112,,,,Be,BE קרית מוצקין,"ש""י עגנון 18",קריית מוצקין,
,,,,8,91,,,,יוניברס,יוניברס עמק חפר- אזור תעשיה,א.ת. עמק חפר,חדרה,3877701
,,,,,241,,,,,יוניברס בני ברק איילון,"הלח""י 28",בני ברק,5120045
,,,,2,357,,,,שופרסל דיל,דיל צורן קדימה- לב השרון,דרך לב השרון 422,צורן,4282300
,,,,8,166,,,,יוניברס,יוניברס אקסטרה  אשדוד- הבושם,הבושם 7 א.ת. קלה,אשדוד,7761007
,,,,,182,,,,,יוניברס דימונה- גולדה מאיר,גולדה מאיר 1,דימונה,86000
,,,,,214,,,,,יוניברס קרית גת- מלכי ישראל,מלכי ישראל 178,קרית גת,8205002
,,,,,283,,,,,"יוניברס קרית עקרון- ביל""ו","מ.תדיראן,ק.עקרון",רחובות,7692000
,,,,7,511,,,,שופרסל אקספרס,אקספרס רסקו נצרת,מרכז רסקו רח' עצמון,נוף הגליל,
,,,,1,756,,,,שופרסל שלי,שלי באר יעקב,17 יצחק שמיר,באר יעקב,
,,,,5,657,,,,Be,Be קריית שמונה,4 קניון שמונה סנטר צ'רנחובסקי,קרית שמונה,
,,,,,518,,,,,Beכפר קרע,61 אל קודס,כפר קרע,
,,,,8,35,,,,יוניברס,יוניברס באר שבע וולפסון,רח' וולפסון 13,באר שבע,8489721
,,,,,205,,,,,יוניברס יהוד- אלטלף,אלטלף 4 א.ת יהוד,יהוד,5621604
,,,,2,320,,,,שופרסל דיל,דיל האגס,2 מנגו,אשדוד,
,,,,15,12,,,,יש בשכונה,יש בני ברק- ירושלים,ירושלים  70,בני-ברק,5144404
,,,,,15,,,,,"יש פ""ת- רוטשילד",רוטשילד 79,פתח-תקוה,4947352
,,,,,21,,,,,יש מרים ירושלים-  פארן,פארן 7 רמת אשכול,ירושלים,9780209
,,,,,78,,,,,יש הר נוף ירושלים-שאולזו,שאולזון 56,,9540057
,,,,,207,,,,,יש אור יהודה - אליהו סעדו,אליהו סעדון 128,אוריהודה,6039727
,,,,,288,,,,,יש רחובות- סירני,חיים סרני 1,רחובות,7626902
,,,,,306,,,,,יש נוה שאנן חיפה- חניתה,רח' חניתה 64,חיפה,3244411
,,,,,307,,,,,יש קרית אתא- זבולון, רח.זבולון 4,קרית אתא,2806007
,,,,,314,,,,,יש חיפה- צרפת,דרך צרפת 11,חיפה,3559602
,,,,,329,,,,,יש  יוקנעם עילית- היובלים,מ.מסחרי יקנעם על,יוקנעם,20692
,,,,8,129,,,,יוניברס,יוניברס נתניה- המלאכה,רח' המלאכה 32,נתניה,4250567
,,,,,203,,,,,יוניברס רמלה לוד- הצופית,הצופית 40,רמלה,
,,,,5,507,,,,Be,Be פארם נאות שמיר,19 הרצל,יבנה,
,,,,8,121,,,,יוניברס,יוניברס נהריה- לוחמי הגטאות,לוחמי הגטאות 36,נהריה,2244744
,,,,32,161,,,,Cash&Carry,המפיץ סיטונאות אשדוד,הבושם 16,,
,,,,8,244,,,,יוניברס,יוניברס גלילות רמת השרון,צומת גלילות,רמת השרון,47100
,,,,1,760,,,,שופרסל שלי,שלי ראש העין,3 מורטן מונדל,ראש העין,
